POINT_COUNT: 35991
[2796.716595 1191.083471]	[2547.912505 1115.877895]
[2796.635926 1191.797635]	[2547.933409 1116.566010]
[2796.380677 1194.169592]	[2548.083630 1118.845590]
[2858.382503 1215.852606]	[2628.889537 1131.785725]
[2858.014815 1218.094175]	[2628.586631 1133.964293]
[2857.653634 1220.336201]	[2628.288622 1136.142819]
[2857.350287 1222.584533]	[2628.033957 1138.322261]
[2857.097162 1224.838453]	[2627.816964 1140.502595]
[2856.810446 1227.088310]	[2627.574761 1142.682167]
[2856.442034 1229.328450]	[2627.271265 1144.859948]
[2856.011057 1231.561093]	[2626.920805 1147.036357]
[2855.565539 1233.791934]	[2626.559424 1149.212492]
[2855.175243 1236.028842]	[2626.239453 1151.389528]
[2854.875119 1238.275769]	[2625.987167 1153.568028]
[2854.643787 1240.530434]	[2625.786471 1155.747731]
[2854.422396 1242.785894]	[2625.593237 1157.927358]
[2854.129373 1245.032984]	[2625.346242 1160.105619]
[2850.550183 1248.117605]	[2619.721959 1163.586476]
[2850.929502 1248.313175]	[2620.418503 1163.710554]
[2853.790925 1247.274492]	[2625.065141 1162.282803]
[2853.203583 1249.377091]	[2624.299218 1164.370506]
[2853.501267 1249.521339]	[2624.820656 1164.460708]
[2852.233859 1248.919274]	[2622.633397 1164.085929]
[2842.700784 1244.610581]	[2606.761210 1161.433822]
[2842.785209 1244.644981]	[2606.891583 1161.454436]
[2840.170489 1243.672636]	[2603.101338 1160.888012]
[2841.057727 1243.991932]	[2604.358767 1161.072020]
[2832.753775 1241.326342]	[2593.458383 1159.598361]
[2834.640415 1241.892354]	[2595.828901 1159.902723]
[2830.306192 1240.607872]	[2590.425263 1159.215594]
[2832.173801 1241.155412]	[2592.737944 1159.507145]
[2837.678122 1242.837165]	[2599.734663 1160.418474]
[2839.140068 1243.317256]	[2601.682597 1160.686209]
[2835.209447 1242.064870]	[2596.548540 1159.995901]
[2836.984996 1242.615566]	[2598.827344 1160.296162]
[2845.272241 1245.659977]	[2610.739680 1162.062540]
[2845.853843 1245.907389]	[2611.666401 1162.212480]
[2847.874532 1246.789574]	[2614.946966 1162.750711]
[2848.579099 1247.131266]	[2616.183091 1162.964634]
[2847.317430 1246.530824]	[2614.000609 1162.590348]
[2844.360264 1245.280743]	[2609.309661 1161.834150]
[2849.800599 1247.727464]	[2618.335510 1163.338418]
[2796.136263 1196.573719]	[2548.327919 1121.149407]
[2795.935406 1198.471651]	[2548.469779 1122.971876]
[2795.882364 1198.950028]	[2548.490248 1123.432352]
[2795.616802 1201.292127]	[2548.552155 1125.689627]
[2795.350362 1203.631474]	[2548.606191 1127.944861]
[2795.087050 1205.980177]	[2548.687384 1130.207183]
[2794.849709 1208.110457]	[2548.770561 1132.258451]
[2794.824994 1208.332757]	[2548.779694 1132.472475]
[2794.566101 1210.694768]	[2548.899344 1134.744902]
